FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,Closing Element,dat_src,None,,,,,,
Default,Closing Element,dataExtUnit,None,,,,,,
Default,Closing Element,fold_id,None,,,,,,
Default,Closing Element,for_name,None,,,,,,
Default,Closing Element,gnrl_modby,None,,,,,,
Default,Closing Element,gnrl_modif,None,,,,,,
Default,Closing Element,iSchemeStatus,None,,,,,,
Default,Closing Element,iout,None,,,,,,
Default,Closing Element,loc_name,None,,,,,,
Default,Closing Element,outserv,ON,,,,,,
Default,Closing Element,pSwitch,None,,,,,,
Default,Closing Element,root_id,None,,,,,,
Default,Closing Element,typ_id,None,,,,,,
Default,OC1+,AttributeType,None,,,,,,
Default,OC1+,Ipset,None,,,,,,
Default,OC1+,Ipsetr,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,PickupCurrent,use_setting,None,,,
Default,OC1+,ModFrame,None,,,,,,
Default,OC1+,ResetT,None,,,,,,
Default,OC1+,Tadder,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,AdditionalTime,use_setting,None,,,
Default,OC1+,Tpset,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,TimeMultiplier,use_setting,None,,,
Default,OC1+,Trelblock,None,,,,,,
Default,OC1+,Tshift,None,,,,,,
Default,OC1+,cDisplayName,None,,,,,,
Default,OC1+,cResetT,None,,,,,,
Default,OC1+,cTadder,None,,,,,,
Default,OC1+,cUserDefIndex,None,,,,,,
Default,OC1+,c_sfansi,None,,,,,,
Default,OC1+,c_sfiec,None,,,,,,
Default,OC1+,c_type,None,,,,,,
Default,OC1+,calcuse,None,,,,,,
Default,OC1+,charact,None,,,,,,
Default,OC1+,chr_name,None,,,,,,
Default,OC1+,ciDist,None,,,,,,
Default,OC1+,ciDistAll,None,,,,,,
Default,OC1+,ciDistAllRoot,None,,,,,,
Default,OC1+,ciDistRoot,None,,,,,,
Default,OC1+,ciEarthed,None,,,,,,
Default,OC1+,ciEnergized,None,,,,,,
Default,OC1+,ciLater,None,,,,,,
Default,OC1+,ciOutaged,None,,,,,,
Default,OC1+,cminresptime,None,,,,,,
Default,OC1+,cpArea,None,,,,,,
Default,OC1+,cpBranch,None,,,,,,
Default,OC1+,cpFeed,None,,,,,,
Default,OC1+,cpGrid,None,,,,,,
