FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,I2>,ciDistAllRoot,None,,,,,,,
default,I2>,ciDistRoot,None,,,,,,,
default,I2>,ciEarthed,None,,,,,,,
default,I2>,ciEnergized,None,,,,,,,
default,I2>,ciLater,None,,,,,,,
default,I2>,ciOutaged,None,,,,,,,
default,I2>,cminresptime,None,,,,,,,
default,I2>,cpArea,None,,,,,,,
default,I2>,cpBranch,None,,,,,,,
default,I2>,cpFeed,None,,,,,,,
default,I2>,cpGrid,None,,,,,,,
default,I2>,cpHeadFold,None,,,,,,,
default,I2>,cpMeteostat,None,,,,,,,
default,I2>,cpOperator,None,,,,,,,
default,I2>,cpOwner,None,,,,,,,
default,I2>,cpSite,None,,,,,,,
default,I2>,cpSubstat,None,,,,,,,
default,I2>,cpSupplySubstation,None,,,,,,,
default,I2>,cpSupplyTransformer,None,,,,,,,
default,I2>,cpSupplyTrfStation,None,,,,,,,
default,I2>,cpZone,None,,,,,,,
default,I2>,dat_src,None,,,,,,,
default,I2>,dataExtUnit,None,,,,,,,
default,I2>,fold_id,None,,,,,,,
default,I2>,for_name,None,,,,,,,
default,I2>,gnrl_modby,None,,,,,,,
default,I2>,gnrl_modif,None,,,,,,,
default,I2>,iSchemeStatus,None,,,,,,,
default,I2>,iacceptblock,None,,,,,,,
default,I2>,idir,None,,,,,,,
default,I2>,loc_name,None,,,,,,,
default,I2>,minresptime,None,,,,,,,
default,I2>,outserv,PROTECTION G1/[46] NEG SEQ OC/,025C,use_setting,No,,,,
default,I2>,pcharac,PROTECTION G1/[46] NEG SEQ OC/,025E,use_setting,None,,,,
default,I2>,pcharac,PROTECTION G1/[46] NEG SEQ OC/,025F,use_setting,None,,,,
default,I2>,resetdis,None,,,,,,,
default,I2>,root_id,None,,,,,,,
default,I2>,typ_id,None,,,,,,,
default,I2>,udeftmax,None,,,,,,,
default,I2>,udeftmin,None,,,,,,,
default,Ie>,AttributeType,None,,,,,,,
default,Ie>,Ipset,PROTECTION G1/[50N/51N] E/Gnd/,231,use_setting,None,,,,
default,Ie>,Ipsetr,None,,,,,,,
default,Ie>,ModFrame,None,,,,,,,
default,Ie>,ResetT,PROTECTION G1/[50N/51N] E/Gnd/,239,use_setting,None,,,,
default,Ie>,Tadder,None,,,,,,,
default,Ie>,Tpset,PROTECTION G1/[50N/51N] E/Gnd/,234,use_setting,None,,,,
default,Ie>,Trelblock,None,,,,,,,
default,Ie>,Tshift,None,,,,,,,
default,Ie>,cDisplayName,None,,,,,,,
default,Ie>,cResetT,None,,,,,,,
default,Ie>,cTadder,None,,,,,,,
default,Ie>,cUserDefIndex,None,,,,,,,
default,Ie>,c_sfansi,None,,,,,,,
default,Ie>,c_sfiec,None,,,,,,,
default,Ie>,c_type,None,,,,,,,
default,Ie>,calcuse,None,,,,,,,
default,Ie>,charact,None,,,,,,,
default,Ie>,chr_name,None,,,,,,,
default,Ie>,ciDist,None,,,,,,,
default,Ie>,ciDistAll,None,,,,,,,
default,Ie>,ciDistAllRoot,None,,,,,,,
default,Ie>,ciDistRoot,None,,,,,,,
default,Ie>,ciEarthed,None,,,,,,,
default,Ie>,ciEnergized,None,,,,,,,
default,Ie>,ciLater,None,,,,,,,
default,Ie>,ciOutaged,None,,,,,,,
default,Ie>,cminresptime,None,,,,,,,
default,Ie>,cpArea,None,,,,,,,
default,Ie>,cpBranch,None,,,,,,,
default,Ie>,cpFeed,None,,,,,,,
default,Ie>,cpGrid,None,,,,,,,
default,Ie>,cpHeadFold,None,,,,,,,
default,Ie>,cpMeteostat,None,,,,,,,
default,Ie>,cpOperator,None,,,,,,,
default,Ie>,cpOwner,None,,,,,,,
default,Ie>,cpSite,None,,,,,,,
default,Ie>,cpSubstat,None,,,,,,,
default,Ie>,cpSupplySubstation,None,,,,,,,
default,Ie>,cpSupplyTransformer,None,,,,,,,
default,Ie>,cpSupplyTrfStation,None,,,,,,,
default,Ie>,cpZone,None,,,,,,,
default,Ie>,dat_src,None,,,,,,,
default,Ie>,dataExtUnit,None,,,,,,,
default,Ie>,fold_id,None,,,,,,,
default,Ie>,for_name,None,,,,,,,
default,Ie>,gnrl_modby,None,,,,,,,
default,Ie>,gnrl_modif,None,,,,,,,
default,Ie>,iSchemeStatus,None,,,,,,,
default,Ie>,iacceptblock,None,,,,,,,
default,Ie>,idir,None,,,,,,,
default,Ie>,loc_name,None,,,,,,,
default,Ie>,minresptime,None,,,,,,,
default,Ie>,outserv,PROTECTION G1/[50N/51N] E/Gnd/,230,use_setting,No,,,,
default,Ie>,pcharac,PROTECTION G1/[50N/51N] E/Gnd/,233,use_setting,None,,,,
default,Ie>,resetdis,None,,,,,,,
default,Ie>,root_id,None,,,,,,,
default,Ie>,typ_id,None,,,,,,,
default,Ie>,udeftmax,None,,,,,,,
default,Ie>,udeftmin,None,,,,,,,
default,I>>,AttributeType,None,,,,,,,
default,I>>,Ipset,PROTECTION G1/[50/51] PHASE OC/,211,use_setting,None,,,,
default,I>>,Ipsetr,None,,,,,,,
default,I>>,ModFrame,None,,,,,,,
default,I>>,ResetT,PROTECTION G1/[50/51] PHASE OC/,219,use_setting,None,,,,
default,I>>,Tadder,None,,,,,,,
default,I>>,Tpset,PROTECTION G1/[50/51] PHASE OC/,212,use_setting,None,,,,
default,I>>,Trelblock,None,,,,,,,
default,I>>,Tshift,None,,,,,,,
default,I>>,cDisplayName,None,,,,,,,
default,I>>,cResetT,None,,,,,,,
default,I>>,cTadder,None,,,,,,,
default,I>>,cUserDefIndex,None,,,,,,,
default,I>>,c_sfansi,None,,,,,,,
default,I>>,c_sfiec,None,,,,,,,
default,I>>,c_type,None,,,,,,,
default,I>>,calcuse,None,,,,,,,
default,I>>,charact,None,,,,,,,
default,I>>,chr_name,None,,,,,,,
default,I>>,ciDist,None,,,,,,,
default,I>>,ciDistAll,None,,,,,,,
default,I>>,ciDistAllRoot,None,,,,,,,
default,I>>,ciDistRoot,None,,,,,,,
default,I>>,ciEarthed,None,,,,,,,
default,I>>,ciEnergized,None,,,,,,,
default,I>>,ciLater,None,,,,,,,
default,I>>,ciOutaged,None,,,,,,,
default,I>>,cminresptime,None,,,,,,,
default,I>>,cpArea,None,,,,,,,
default,I>>,cpBranch,None,,,,,,,
default,I>>,cpFeed,None,,,,,,,
default,I>>,cpGrid,None,,,,,,,
default,I>>,cpHeadFold,None,,,,,,,
default,I>>,cpMeteostat,None,,,,,,,
default,I>>,cpOperator,None,,,,,,,
default,I>>,cpOwner,None,,,,,,,
default,I>>,cpSite,None,,,,,,,
default,I>>,cpSubstat,None,,,,,,,
default,I>>,cpSupplySubstation,None,,,,,,,
default,I>>,cpSupplyTransformer,None,,,,,,,
default,I>>,cpSupplyTrfStation,None,,,,,,,
default,I>>,cpZone,None,,,,,,,
default,I>>,dat_src,None,,,,,,,
default,I>>,dataExtUnit,None,,,,,,,
default,I>>,fold_id,None,,,,,,,
default,I>>,for_name,None,,,,,,,
default,I>>,gnrl_modby,None,,,,,,,
default,I>>,gnrl_modif,None,,,,,,,
default,I>>,iSchemeStatus,None,,,,,,,
default,I>>,iacceptblock,None,,,,,,,
default,I>>,idir,None,,,,,,,
default,I>>,loc_name,None,,,,,,,
default,I>>,minresptime,None,,,,,,,
default,I>>,outserv,PROTECTION G1/[50/51] PHASE OC/,210,use_setting,No,,,,
default,I>>,pcharac,PROTECTION G1/[50/51] PHASE OC/,213,use_setting,None,,,,
default,I>>,resetdis,None,,,,,,,
default,I>>,root_id,None,,,,,,,
default,I>>,typ_id,None,,,,,,,
default,I>>,udeftmax,None,,,,,,,
default,I>>,udeftmin,None,,,,,,,
default,I>>>,AttributeType,None,,,,,,,
default,I>>>,Ipset,PROTECTION G1/[50/51] PHASE OC/,221,use_setting,None,,,,
default,I>>>,Ipsetr,None,,,,,,,
default,I>>>,Trelblock,None,,,,,,,
default,I>>>,Tset,PROTECTION G1/[50/51] PHASE OC/,222,use_setting,None,,,,
default,I>>>,cDisplayName,None,,,,,,,
default,I>>>,cTset,None,,,,,,,
default,I>>>,cUserDefIndex,None,,,,,,,
default,I>>>,c_sfansi,None,,,,,,,
default,I>>>,c_sfiec,None,,,,,,,
default,I>>>,c_type,None,,,,,,,
default,I>>>,calcuse,None,,,,,,,
default,I>>>,charact,None,,,,,,,
default,I>>>,chr_name,None,,,,,,,
default,I>>>,ciDist,None,,,,,,,
default,I>>>,ciDistAll,None,,,,,,,
default,I>>>,ciDistAllRoot,None,,,,,,,
default,I>>>,ciDistRoot,None,,,,,,,
default,I>>>,ciEarthed,None,,,,,,,
default,I>>>,ciEnergized,None,,,,,,,
default,I>>>,ciLater,None,,,,,,,
default,I>>>,ciOutaged,None,,,,,,,
default,I>>>,cpArea,None,,,,,,,
default,I>>>,cpBranch,None,,,,,,,
default,I>>>,cpFeed,None,,,,,,,
default,I>>>,cpGrid,None,,,,,,,
default,I>>>,cpHeadFold,None,,,,,,,
default,I>>>,cpMeteostat,None,,,,,,,
default,I>>>,cpOperator,None,,,,,,,
default,I>>>,cpOwner,None,,,,,,,
default,I>>>,cpSite,None,,,,,,,
default,I>>>,cpSubstat,None,,,,,,,
default,I>>>,cpSupplySubstation,None,,,,,,,
default,I>>>,cpSupplyTransformer,None,,,,,,,
default,I>>>,cpSupplyTrfStation,None,,,,,,,
default,I>>>,cpZone,None,,,,,,,
default,I>>>,cptotime,None,,,,,,,
default,I>>>,dat_src,None,,,,,,,
default,I>>>,dataExtUnit,None,,,,,,,
default,I>>>,fold_id,None,,,,,,,
default,I>>>,for_name,None,,,,,,,
default,I>>>,gnrl_modby,None,,,,,,,
default,I>>>,gnrl_modif,None,,,,,,,
default,I>>>,iSchemeStatus,None,,,,,,,
default,I>>>,iacceptblock,None,,,,,,,
default,I>>>,idir,None,,,,,,,
default,I>>>,loc_name,None,,,,,,,
default,I>>>,outserv,PROTECTION G1/[50/51] PHASE OC/,250,use_setting,None,,,,
default,I>>>,root_id,None,,,,,,,
default,I>>>,typ_id,None,,,,,,,
default,Ie>>,AttributeType,None,,,,,,,
default,Ie>>,Ipset,PROTECTION G1/[50N/51N] E/Gnd/,241,use_setting,None,,,,
default,Ie>>,Ipsetr,None,,,,,,,
