FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Reclosing,crecltime5,None,,,,,,,
default,Reclosing,cresettime,None,,,,,,,
default,Reclosing,dat_src,None,,,,,,,
default,Reclosing,dataExtUnit,None,,,,,,,
default,Reclosing,fasttripdisabl,None,,,,,,,
default,Reclosing,fasttripdislock,None,,,,,,,
default,Reclosing,fold_id,None,,,,,,,
default,Reclosing,for_name,None,,,,,,,
default,Reclosing,gnrl_modby,None,,,,,,,
default,Reclosing,gnrl_modif,None,,,,,,,
default,Reclosing,groundtripprec,None,,,,,,,
default,Reclosing,grtripblock,None,,,,,,,
default,Reclosing,hcl1active,None,,,,,,,
default,Reclosing,hcl2active,None,,,,,,,
default,Reclosing,hcl3active,None,,,,,,,
default,Reclosing,hcl4active,None,,,,,,,
default,Reclosing,hctrip1enable,None,,,,,,,
default,Reclosing,hctrip2enable,None,,,,,,,
default,Reclosing,hctrip3enable,None,,,,,,,
default,Reclosing,hctrip4enable,None,,,,,,,
default,Reclosing,hctrip5enable,None,,,,,,,
default,Reclosing,iSchemeStatus,None,,,,,,,
default,Reclosing,ilogic,None,,,,,,,
default,Reclosing,loc_name,None,,,,,,,
default,Reclosing,maxseqcpsno,None,,,,,,,
default,Reclosing,operationmode,None,,,,,,,
default,Reclosing,oplockout,Group 1/49 - GROUP 1 AUTORECLOSE/,4902,use_setting,+,1,,,
default,Reclosing,outserv,ON,,,,,,,
default,Reclosing,reclnotactive,None,,,,,,,
default,Reclosing,recltime1,Group 1/49 - GROUP 1 AUTORECLOSE/,4908,use_setting,None,,,,
default,Reclosing,recltime11ph,None,,,,,,,
default,Reclosing,recltime2,Group 1/49 - GROUP 1 AUTORECLOSE/,4909,use_setting,None,,,,
default,Reclosing,recltime3,Group 1/49 - GROUP 1 AUTORECLOSE/,490A,use_setting,None,,,,
default,Reclosing,recltime4,None,,,,,,,
default,Reclosing,recltime5,None,,,,,,,
default,Reclosing,resettime,Group 1/49 - GROUP 1 AUTORECLOSE/,490F,use_setting,None,,,,
default,Reclosing,root_id,None,,,,,,,
default,Reclosing,seqaccessory,None,,,,,,,
default,Reclosing,starttimeframe,None,,,,,,,
default,Reclosing,typ_id,None,,,,,,,
default,I>1,AttributeType,None,,,,,,,
default,I>1,Ipset,None,,,,,,,
default,I>1,Ipsetr,Group 1/35 - GROUP 1 OVERCURRENT/,3503,use_setting,None,,,,
default,I>1,ModFrame,None,,,,,,,
default,I>1,ResetT,None,,,,,,,
default,I>1,Tadder,None,,,,,,,
default,I>1,Tpset,Group 1/35 - GROUP 1 OVERCURRENT/,3505,use_setting,None,,,,
default,I>1,Trelblock,None,,,,,,,
default,I>1,Tshift,None,,,,,,,
default,I>1,cDisplayName,None,,,,,,,
default,I>1,cResetT,None,,,,,,,
default,I>1,cTadder,None,,,,,,,
default,I>1,cUserDefIndex,None,,,,,,,
default,I>1,c_sfansi,None,,,,,,,
default,I>1,c_sfiec,None,,,,,,,
default,I>1,c_type,None,,,,,,,
default,I>1,calcuse,None,,,,,,,
default,I>1,charact,None,,,,,,,
default,I>1,chr_name,None,,,,,,,
default,I>1,ciDist,None,,,,,,,
default,I>1,ciDistAll,None,,,,,,,
default,I>1,ciDistAllRoot,None,,,,,,,
default,I>1,ciDistRoot,None,,,,,,,
default,I>1,ciEarthed,None,,,,,,,
default,I>1,ciEnergized,None,,,,,,,
default,I>1,ciLater,None,,,,,,,
default,I>1,ciOutaged,None,,,,,,,
default,I>1,cminresptime,None,,,,,,,
default,I>1,cpArea,None,,,,,,,
default,I>1,cpBranch,None,,,,,,,
default,I>1,cpFeed,None,,,,,,,
default,I>1,cpGrid,None,,,,,,,
default,I>1,cpHeadFold,None,,,,,,,
default,I>1,cpMeteostat,None,,,,,,,
default,I>1,cpOperator,None,,,,,,,
default,I>1,cpOwner,None,,,,,,,
default,I>1,cpSite,None,,,,,,,
default,I>1,cpSubstat,None,,,,,,,
default,I>1,cpSupplySubstation,None,,,,,,,
default,I>1,cpSupplyTransformer,None,,,,,,,
