relaysettingid,nameenu,actualvalue
29BA2460-5C68-4E10-86E2-3FB87575387E,Iprim_1,300.0
DF829494-FE4E-453A-A687-E7DF2FFAEFBA,Iprim_1,2000.0
0801C2F8-3EAA-4967-9433-232FF3ADFF12,Ratio I_1,2000.0
62B05A98-9D87-4C7D-BAE6-DFEF2D2C5E61,Ratio I_1,80.0
14A67D3F-0243-43E5-B31D-8B2E6F79A720,Ratio I_1,120.0
E73700D7-68AC-48B3-B197-873FA5EA4E82,Iprim_1,1600.0
2A3077D5-90D1-4ACF-B2C3-9B8B535A86EA,Isec_1,5.0
1553AA43-3738-4EBD-84D3-C540C36BCF0D,Iprim_1,400.0
AACECCC2-72D3-4D45-B57E-C7CC1B53D5A7,Ratio I_1,80.0
6F8DCBDB-73A4-4FB3-AC6F-B4A8717CA06A,Ratio I_1,160.0
84F4F227-E6FB-4B35-8FB9-AD3F4A513DB5,Ratio I_1,80.0
A817455C-B6A4-4BC3-BF75-B80B24530F7C,Ratio I_1,60.0
D49C029B-1A0D-4D13-870C-43C5CB725351,Iprim_1,400.0
A9CB903A-5921-4C95-A3E5-C47EC05889F7,Isec_1,5.0
423DD9E1-7986-4D5C-820A-BEFC037720F6,Iprim_1,300.0
9D2D91AD-59E9-48D4-BBCD-DD0B2B5C21FA,Isec_1,1.0
697ED337-96A1-44FA-A18E-ABD1E8F60CC6,Iprim_1,400.0
57224F09-75F4-4929-87CE-4A4D1D5D66F6,Iprim_1,400.0
0F727A7D-4B66-4A37-9812-91BC1A7EAF3F,Iprim_1,100.0
EE3E1332-B2F2-45DF-B114-C593506D19CD,Isec_1,5.0
2C0CD33C-4A30-4168-A94C-B39A09FB4557,Ratio I_1,400.0
83AB870E-64BA-41B0-A869-D28D32084AD3,Ratio I_1,120.0
A6104BC2-80F6-43CE-A614-A2A87F13E5A3,Isec_1,1.0
BDBA3C2F-D330-4D83-AAD1-C01ECBC9CEC2,Iprim_1,800.0
EA7C7CE7-C4B7-40B0-BC01-DA0444C028C9,Isec_1,5.0
6102BC53-8543-420E-9EB4-C6CC556D709B,Isec_1,1.0
98925B44-1A32-4E86-8D8A-8C2CAFE25F5A,Isec_1,5.0
CD3DC7D0-B521-408D-B879-9ED035BB9C5A,Ratio I_1,160.0
E3666CC6-4FCD-4297-909F-E91F52D0C1DB,Isec_1,5.0
460F380B-F519-4CEE-8EB7-9A0C2FF65F6B,Ratio I_1,80.0
9083DFCD-2580-4B85-A16C-EED8650418CB,Isec_1,5.0
89EAC378-6D7C-4A77-8DD5-B54D51E80BEC,Isec_1,5.0
194C1FB7-7491-4961-B043-E4E3A63DE259,Isec_1,5.0
87A3F7F3-CDFD-451D-9DC0-791F60AC42FD,Iprim_1,800.0
737EAA5C-DEE1-4545-B2E1-0390E77C431A,Ratio I_1,800.0
F523D3DC-D292-4F30-9577-744BAFD91491,Ratio I_1,1600.0
ABA70232-57AF-4F1F-B465-B7ECA9CE59C6,Isec_1,1.0
73A3F11A-FF79-41F5-A3A3-4B3DC3AB8F7F,Iprim_1,1000.0
A5B838B3-7752-4245-8C66-CA3A9018897E,Iprim_1,2000.0
BBE645C4-8228-4DC1-952A-C63F257DF68D,Iprim_1,400.0
4A9343F3-6937-42A1-9901-9104EFBA419E,Isec_1,5.0
80D0A407-84E7-4014-B322-B99FC7F94026,Ratio I_1,60.0
3C9D7E08-24FE-41D7-B48D-642A12A826D1,Isec_1,5.0
3C8CEB26-B280-4E56-918C-2EA1FB835A7C,Iprim_1,3000.0
7F414C9A-A969-4CFE-B5EA-C30E6C9A4986,Ratio I_1,120.0
300ABE3B-26EE-40D9-B4D3-05904923AB9F,Isec_1,5.0
456B0903-A319-4716-992E-8D69DB9E6665,Isec_1,5.0
DA45E2F9-3708-49A4-B89B-F71EF915C1E5,Isec_1,5.0
F597A574-BC67-47D1-B87F-CE2550AACBE9,Ratio I_1,240.0
D8B4C6C0-F149-47BA-8D2E-3278A39AD72D,Isec_1,5.0
31C13DB3-22D6-46D6-8B5B-A159FA61AB2B,Iprim_2,800.0
4006148A-0AA6-4722-AC6F-5D92870A34C8,Isec_1,5.0
66D3F491-82C3-4F30-BE83-0C8819B8CFFC,Ratio I_1,160.0
7B7C3ADC-157F-4272-B21B-9FEEC940C2A5,Iprim_1,2000.0
B0F9BB87-992C-4D79-9FD8-5C61BA86E729,Isec_1,5.0
3EB2F4EC-5171-4225-A7F8-40992FF2CE95,Iprim_1,400.0
F7051F8C-353C-493B-A55D-7024EDF308F0,Isec_1,5.0
38997E6E-67A4-497C-A73C-1BA4E70E4545,Isec_1,5.0
68623556-8425-441C-AEC3-C58C0DC17212,Isec_1,5.0
293E7FC4-3914-491F-9A92-C9AB58E9E34C,Ratio I_1,1600.0
EEC136A7-C774-4634-AC10-5B434754DFEB,Ratio I_1,400.0
62B05A98-9D87-4C7D-BAE6-DFEF2D2C5E61,Iprim_1,400.0
F5709C69-D8F6-4AE6-B868-81C623240957,Iprim_1,400.0
74DE5AA5-C418-4602-8675-DDE92F741E0C,Iprim,2000.0
2957F265-6040-42B0-A002-1EE13B7FF279,Isec_1,1.0
9346571C-86EC-439E-858B-DF29C011C203,Isec_1,5.0
E4231472-BD61-4E7E-AE64-E560ABB23525,Iprim_1,1600.0
DD2ABF9F-1D4A-4EB7-8CC0-02EB08F5E75B,Isec_1,1.0
C4D769A7-BB02-43D6-B36B-A96F645BC2C3,Ratio I,120.0
B2710E62-543B-40D2-AC77-2E5A361108B8,Ratio I_1,800.0
CCA04C23-AEDD-408D-B39E-9D3A6D7F7515,Ratio I_1,80.0
7833DF52-4BF8-4123-84A9-E2F5CE181E22,Ratio I_1,80.0
3BBBCB5B-8F8F-45B8-B67E-821B66DA85BC,Iprim_1,400.0
A885AE5B-1C32-4F10-9C40-B25A1FB628C0,Isec_1,1.0
D7DB68E4-6ACC-46BD-A5EA-D11D3A5347C5,Isec_1,5.0
E6C5F5D6-C1E2-4F74-93BC-69DE166E0024,Ratio I_1,400.0
26905D14-C518-4420-8F84-D7FF6D2811BF,Iprim_1,2000.0
65FD2501-8754-4744-A979-878A20B91A33,Ratio I_1,80.0
36DEF350-797A-4780-AFDB-2401BB0CC833,Isec_1,1.0
8C1EE6BE-5AC9-4311-AFF0-9B7A9DB05E38,Iprim_1,1000.0
3BB18892-F678-4C3B-BCC0-72AAD1E31F99,Iprim_1,400.0
E4A031A3-6226-4A85-8739-67797EEB2DC7,Iprim_1,400.0
297BFC11-F9CB-4990-B6DF-B7056E374299,Isec_1,5.0
1A4CA94C-C86A-4234-9059-8F5729D489E8,Isec_1,5.0
CC599B6F-0CF7-4F5F-A5F3-B7D84B0CEC86,Isec_1,5.0
5CA68B28-2950-4AF8-AA6D-A0204ED34D6A,Iprim_1,800.0
5E09A08E-401A-4664-BF68-B5382F0624C1,Isec_1,5.0
E8FA84D8-900F-4C3C-BFC1-B30F2EB274F0,Isec_1,5.0
9348F6C4-533C-40AC-900C-A97C9E3A3F31,Iprim_1,2000.0
ADB54DC8-FC4D-42EA-BAAF-27C0BF0DB834,Ratio I_1,2.0
4008DF38-8A7B-4904-94D6-DA468F63DD77,Isec_1,5.0
37AE00BA-BA1D-4D95-A27F-24F05144B2CE,Isec_1,5.0
1AA3FA4E-D437-4E42-9ABD-BBF0F7964395,Isec_1,5.0
E303EBE5-D2CD-4EBA-8B17-B1B937937C5F,Isec_1,5.0
2826D719-CCF9-42B7-886D-1E309AEBA5FC,Ratio I_1,80.0
53E7ECA3-309D-4837-B24C-4D1A686A8534,Iprim_1,400.0
8F9E9C0A-6B1D-4F4F-A3CD-6EAC963E5A12,Iprim_1,10.0
