asset_id,equip_no,plant_no
112356749,000009112259,GS-871646                     
112338898,000009097509,GS-869705                     
112316840,000009079722,GS-867496                     
112339540,000009098135,GS-2418560                    
111716604,000008808531,GS-814192                     
112403812,000009159357,GS-877294                     
83922663,000006627477,GS-534727                     
84111826,000006951086,GS-661124                     
85275330,000008533641,GS-1482000                    
111900153,000008908384,GS-854680                     
84820372,000008008533,GS-1226564                    
82592240,000005335940,GS-208240                     
84920410,000008102447,GS-1301120                    
10029495,000002310310,GS-53342                      
112420722,000009174994,GS-878513                     
112269456,000009030873,GS-863468                     
21025328,000002461923,GS-73830                      
111506706,000008659575,GS-791582                     
111631496,000008749747,GS-805649                     
111632666,000008750340,GS-804471                     
111821307,000008877616,GS-823772                     
111806324,000008865580,GS-822381                     
50079587,000002388581,GS-81823                      
84025410,000006800064,GS-123-0002                   
111901682,000008908810,GS-854394                     
111901925,000008909003,GS-854398                     
30061706,000002534617,GS-56636                      
111895648,000008906752,GS-854422                     
111899924,000008908331,GS-854322                     
111892084,000008904820,GS-854015                     
84497945,000007603247,GS-1025920                    
83953233,000006688513,GS-572320                     
84934225,000008115359,GS-1314320                    
82659569,000005574597,GS-247200                     
50080042,000002381854,GS-81949                      
111650182,000008763976,GS-1846881                    
60330466,000002099397,GS-85942                      
111665559,000008776143,GS-809544                     
111668692,000008778255,GS-809576                     
112428949,000009181922,GS-879456                     
111822616,000008878696,GS-824244                     
112767284,000009472823,GS-910952                     
50072739,000002750749,GS-81597                      
81641499,000002516823,GS-69789                      
50082567,000002389375,GS-82228                      
50073511,000002648653,GS-81698                      
50071965,000002702365,GS-81471                      
21025194,000002135568,GS-73708                      
84711704,000007928706,GS-1172240                    
83907282,000006599039,GS-524723                     
50078177,000002460771,GS-64421                      
84344090,000007630073,GS-901922                     
10114718,000002268437,GS-71161                      
10128708,000002263453,GS-71486                      
84230878,000007263376,GS-806484                     
60001095,000002242585,GS-65761                      
84679249,000007879562,GS-1136322                    
50061503,000002380621,GS-80761                      
