asset_id,equip_no,plant_no
84454471,000007521841,RC-989444                     
83868077,000006379601,RC-479608                     
84687690,000007890199,RC-1146960                    
40223123,000002087248,RC-89001                      
84414606,000007427143,RC-935604                     
84831484,000008022489,RC-1234960                    
84168153,000007034896,RC-694183                     
82994273,000006138519,RC-398640                     
81708274,000002451409,RC-89376                      
84661645,000007852354,RC-1116480                    
84663391,000007855853,RC-1117843                    
40213480,000002298377,RC-62190                      
83957059,000006697482,RC-577040                     
84428592,000007447162,RC-912007                     
81681083,000002385176,RC-94462                      
81681087,000002385312,RC-94466                      
84931132,000008111956,RC-1310160                    
84695436,000007900961,RC-1157607                    
84436702,000007462915,RC-930964                     
30189359,000002829608,RC-94924                      
30062051,000002528314,RC-56959                      
30186998,000002778694,RC-57352                      
84207502,000007112643,RC-790720                     
82653662,000005560456,RC-241844                     
25267267,000002416538,RC-74408                      
25268088,000002412157,RC-74735                      
60002339,000002272971,RC-66503                      
25268506,000002405472,RC-55882                      
60002181,000002271401,RC-66435                      
60002566,000002183502,RC-66688                      
40199266,000002532992,RC-58475                      
40198749,000002092682,RC-58347                      
81705774,000002208783,RC-89326                      
40202058,000002073837,RC-59137                      
84458611,000007530639,RC-933922                     
84451607,000007528369,RC-987123                     
84340693,000007313486,RC-897827                     
84895842,000008077990,RC-1275364                    
84946019,000008135062,RC-1330803                    
111657379,000008769516,RC-808534                     
60330912,000002498733,RC-70195                      
30184239,000002797866,RC-77504                      
40217141,000002277183,RC-62954                      
40196378,000002117517,RC-57889                      
40214049,000002580636,RC-62415                      
84549444,000007690501,RC-1064885                    
84543978,000007677340,RC-1001365                    
84544532,000007680866,RC-1060486                    
84544526,000007680885,RC-1060480                    
84227453,000007134154,RC-804001                     
84552707,000007694604,RC-1066800                    
111827179,000008881949,RC-824550                     
84730907,000007956951,RC-1196480                    
111608865,000008733356,RC-803244                     
50067727,000002122635,RC-63834                      
111594445,000008722306,RC-801557                     
30185882,000002366408,RC-57145                      
40197920,000002544276,RC-58189                      
