asset_id,equip_no,plant_no
111654072,000008767478,DO-807392                     
111654012,000008767496,DO-808387                     
111654043,000008767499,DO-808391                     
111665608,000008776206,DO-808862                     
111665613,000008776209,DO-808794                     
83840178,000006554414,DO-460160                     
83840341,000006322340,DO-460480                     
83840132,000006322235,DO-460087                     
83839958,000006322053,DO-459855                     
83845690,000006330314,DO-432644                     
83839887,000006322140,DO-442758                     
40205001,000002773237,DO-61160                      
83842219,000006325757,DO-462240                     
83837246,000006317968,DO-459040                     
83844427,000006328551,DO-464326                     
83844429,000006328553,DO-464328                     
83845092,000006329352,DO-464880                     
83843627,000006352890,DO-434562                     
83816295,000006281206,DO-448324                     
83816298,000006281217,DO-448327                     
25279625,000002352772,DO-75170                      
50069870,000002052328,DO-81211                      
84661469,000007852219,DO-1081527                    
85250470,000008506435,DO-1459922                    
10029884,000002134982,DO-53615                      
80126417,000002702313,DO-87941                      
80121054,000002712935,DO-86311                      
10135907,000002681378,DO-54141                      
112804217,000009502118,DO-915963                     
112621573,000009372307,DO-898726                     
112621571,000009372305,DO-899116                     
112621619,000009372311,DO-899117                     
112822083,000009519104,DO-917754                     
21011049,000002578884,DO-54993                      
112767240,000009472851,DO-909016                     
112776988,000009479946,DO-3038080                    
84943906,000008131661,DO-1328241                    
82894068,000005910873,DO-349683                     
83047596,000006217734,DO-434800                     
40204967,000002772530,DO-824408                     
111716395,000008808345,DO-814529                     
85354803,000008609232,DO-1554641                    
111712633,000008805954,DO-814154                     
84574120,000007728879,DO-1082166                    
84554663,000007697834,DO-1067959                    
83924017,000006630815,DO-540723                     
111725848,000008812949,DO-815187                     
40199262,000002532793,DO-58471                      
84521083,000007657209,DO-1028483                    
111691648,000008846685,DO-808756                     
84061517,000006867469,DO-681200                     
40196339,000002117084,DO-57883                      
111770129,000008862703,DO-819116                     
111771509,000008912239,DO-818755                     
83961162,000006701787,DO-581281                     
111772474,000008854137,DO-819450                     
84942913,000008220005,DO-1324961                    
21023615,000002170733,DO-72582                      
30064008,000002427182,DO-76945                      
30062156,000002529346,DO-56978                      
30062198,000002531597,DO-57019                      
112237500,000009020396,DO-861673                     
83880274,000006404851,DO-480889                     
40216707,000002252678,DO-62836                      
84247468,000007166120,DO-810085                     
84270550,000007198224,DO-770643                     
84573867,000007728697,DO-1082080                    
84468080,000007551523,DO-998800                     
84817540,000008003573,DO-1224480                    
83035431,000005299799,DO-123                        
84900866,000008083193,DO-1282640                    
30185916,000002367726,DO-57176                      
84183270,000007067021,DO-751683                     
40202350,000002480175,DO-59331                      
111570138,000008702086,DO-798876                     
40205857,000002371142,DO-77919                      
60002899,000002177710,DO-66922                      
111714937,000008820390,DO-813139                     
111718918,000008879352,DO-813338                     
111771573,000008879363,DO-819207                     
111712579,000008833559,DO-813679                     
111721865,000008826034,DO-814083                     
84495997,000007600797,DO-1024080                    
111692490,000008876430,DO-812088                     
84490837,000007593152,DO-1019440                    
111713201,000008834379,DO-814058                     
111716700,000008808578,DO-808994                     
111716723,000008808583,DO-814007                     
112525227,000009280755,DO-889265                     
111683265,000008810551,DO-810585                     
85361429,000008615254,DO-1560881                    
83878916,000006403066,DO-492487                     
84019872,000006794419,DO-641601                     
111687772,000008810830,DO-811321                     
111725027,000008812757,DO-814322                     
84269723,000007195508,DO-833858                     
112518381,000009274221,DO-884679                     
85330489,000008584909,DO-1524004                    
111735245,000008820010,DO-812169                     
111725657,000008842849,DO-814865                     
85090956,000008258468,DO-1375200                    
80110699,000002278957,DO-68087                      
40216705,000002252610,DO-62834                      
111768844,000008843815,DO-818862                     
111771404,000008845391,DO-819148                     
111771416,000008845393,DO-819238                     
111718075,000008832715,DO-814318                     
84058812,000006864374,DO-678720                     
84821608,000008009512,DO-1227605                    
82972367,000006027585,DO-379120                     
111766007,000008841804,DO-818973                     
111767299,000008842676,DO-818325                     
111771540,000008845483,DO-819342                     
111771547,000008845484,DO-818879                     
111776484,000008848344,DO-819418                     
84680279,000007880748,DO-1138080                    
111770187,000008844531,DO-819274                     
83952520,000006687646,DO-123-0057                   
111771694,000008845644,DO-819277                     
111771726,000008845649,DO-819319                     
111771739,000008845664,DO-819228                     
111771744,000008845665,DO-819278                     
111769509,000008844161,DO-819092                     
111776432,000008886179,DO-819754                     
21024167,000002164681,DO-72954                      
81681397,000002829468,DO-94939                      
60001950,000002268965,DO-66377                      
84281702,000007213275,DO-842480                     
84262088,000007187682,DO-828960                     
84231680,000007140125,DO-57797-0001                 
84269735,000007195517,DO-833870                     
84227454,000007134155,DO-1706086                    
84231008,000007139708,DO-806642                     
84231010,000007139710,DO-806644                     
84129469,000006984010,DO-734640                     
83046980,000006216463,DO-434160                     
84470429,000007553383,DO-1000961                    
84722223,000007943622,DO-1187365                    
40202357,000002480374,DO-59335                      
